date,usdt_adj_vol,usdt_supply,usdt_circulating_supply
2024/10/1 0:00,25058461990.05454,118919483697.13992,119632023784.447
2024/10/2 0:00,24265469485.673176,118987526664.45006,119657675160.641
2024/10/3 0:00,22229601159.452866,118950134958.46007,119640575156.229
2024/10/4 0:00,21883566114.608177,118910790211.92993,119641989887.497
2024/10/5 0:00,12170898094.828526,118927306295.75993,119641989887.497
2024/10/6 0:00,11333380007.173248,118845833367.89,119677344810.509
2024/10/7 0:00,24881028438.156384,118925532079.13002,119677344810.509
2024/10/8 0:00,25315420433.91215,119082777274.32,119857245003.333
2024/10/9 0:00,25253431978.056564,119029145684.64,119848153356.521
2024/10/10 0:00,24817179364.384567,118980597060.06001,119856254817.544
2024/10/11 0:00,22794188290.13475,119109297928.22003,119732254814.621
2024/10/12 0:00,12822156209.57011,119118812400.98,119736504562.848
2024/10/13 0:00,10143981945.912354,119139316134.36006,119738104513.945
2024/10/14 0:00,25534997915.44693,119096181138.41006,119738104513.933
2024/10/15 0:00,29498642091.36858,119270696307.72997,119766074110.932
2024/10/16 0:00,26986269151.50834,119325575781.80989,119972176281.551
2024/10/17 0:00,24252638156.87506,119363523573.64998,119973576281.551
2024/10/18 0:00,25019575116.089043,119581268806.39001,120010326613.569
2024/10/19 0:00,13649443088.300844,119628526524.55003,120168979663.918
2024/10/20 0:00,12400681917.196812,119643060179.88995,120195979663.915
2024/10/21 0:00,28346459464.152702,119530201546.81004,120195979663.915
2024/10/22 0:00,26954785286.6236,119527340242.56004,120219543500.338
2024/10/23 0:00,26484019652.908634,119494982153.15,120207481573.625
2024/10/24 0:00,25203719354.3618,1.19652E+11,120221667386.653
2024/10/25 0:00,27974428043.80255,119668464725.89014,120301926990.847
2024/10/26 0:00,14565350605.355747,119519829271.16002,120304469780.027
2024/10/27 0:00,10375126722.283342,119496244137.1799,120339320858.664
2024/10/28 0:00,25906247970.908737,119406698218.28006,120339320856.062
2024/10/29 0:00,29189262532.042545,119963351461.74997,120245583212.678
2024/10/30 0:00,26665740937.863182,119856778980.47003,120504138281.467
2024/10/31 0:00,25895922552.745636,119754780554.61993,120573513104.302
2024/11/1 0:00,25523968222.537666,119927346780.95995,120572829275.281
2024/11/2 0:00,12987454168.538954,119961750667.58002,120576300905.252
2024/11/3 0:00,12341379949.935236,119933233834.42004,120576741184.327
2024/11/4 0:00,25919861250.659916,120028214454.39996,120576741184.214
2024/11/5 0:00,26032787051.615482,120031247441.34001,120496629333.274
2024/11/6 0:00,39644494419.19647,120977006638.81995,120499998420.336
2024/11/7 0:00,31940194965.041492,121584703006.60994,121378654700.611
2024/11/8 0:00,31177766947.111588,122683700552.47003,121953737784.446
2024/11/9 0:00,17472518780.51104,122554468662.74998,123028341160.283
2024/11/10 0:00,20946730222.297478,123025228111.38995,123200981216.893
2024/11/11 0:00,37342987385.02551,123887893966.68004,123386401199.986
2024/11/12 0:00,43010644249.13763,125405664737.86003,124012870443.674
2024/11/13 0:00,42463526147.97615,126597823236.97,125238185518.708
2024/11/14 0:00,38517292757.11836,127451741705.27994,126625684194.878
2024/11/15 0:00,32424764596.897205,127228478848.30995,127284508523.663
2024/11/16 0:00,20149835759.88212,127540830432.30006,127364484596.245
2024/11/17 0:00,17764766489.765774,127486567357.63004,127537303558.548
2024/11/18 0:00,40919419984.18742,128097068263.55,127539192697.571
2024/11/19 0:00,37822475839.02701,128757194778.58,128151427236.977
2024/11/20 0:00,40130891241.45689,130188375313.25995,128767132044.399
2024/11/21 0:00,41731483684.3014,130671795540.80995,130151051348.034
2024/11/22 0:00,37496469442.7448,131960183988.59995,130718783155.737
2024/11/23 0:00,26137926408.46247,132482163355.69,132105169727.156
2024/11/24 0:00,20125108678.060204,132645075986.1799,132437169724.178
2024/11/25 0:00,38517219562.66429,132643459576.10992,132590369719.836
2024/11/26 0:00,36139789757.1696,132419335627.62001,132744005559.75
2024/11/27 0:00,34680356634.36995,133158751295.02,132672505105.055
